ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
1000001,M,N,N,1,97200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19907,-13966,1,0,1,0,Security staff,3
1000002,F,Y,Y,0,388500.0,Working,Higher education,Separated,Rented apartment,-10995,-136,1,0,0,0,Laborers,2
1000003,F,N,Y,0,306500.0,Working,Higher education,Married,House / apartment,-8704,-5177,1,0,1,0,Cooking staff,2
1000004,F,N,N,1,192000.0,State servant,Secondary / secondary special,Married,House / apartment,-7604,-9123,1,0,0,0,Laborers,3
1000005,M,Y,Y,2,112200.0,State servant,Secondary / secondary special,Married,With parents,-23691,-1941,1,0,0,0,Managers,4
1000006,M,N,N,0,242900.0,Working,Incomplete higher,Married,House / apartment,-8514,-6924,1,1,0,0,Other,2
1000007,M,N,Y,0,75600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19843,-8360,1,0,1,0,High skill tech staff,2
1000008,F,Y,N,3,228300.0,Working,Secondary / secondary special,Married,Rented apartment,-17772,-8653,1,0,0,0,Security staff,5
1000009,F,N,Y,1,211900.0,Working,Incomplete higher,Single / not married,Rented apartment,-13820,-4505,1,0,1,0,Security staff,3
1000010,F,Y,N,0,123500.0,Working,Secondary / secondary special,Married,House / apartment,-7997,-8055,1,0,0,0,Core staff,2
1000011,M,N,N,1,235500.0,Working,Secondary / secondary special,Married,Municipal apartment,-22268,-7551,1,0,1,0,Drivers,2
1000012,F,N,Y,4,106600.0,Pensioner,Higher education,Married,Municipal apartment,-10026,365243,1,0,0,0,Drivers,6
1000013,F,N,N,2,70800.0,Working,Higher education,Married,House / apartment,-14099,-8747,1,0,1,0,Core staff,4
1000014,M,N,N,1,217300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9223,-6616,1,0,0,0,Cleaning staff,3
1000015,M,N,Y,0,127700.0,Pensioner,Higher education,Married,House / apartment,-17128,365243,1,0,0,0,Security staff,1
1000016,M,N,Y,2,180000.0,Working,Higher education,Married,House / apartment,-20633,-11037,1,0,1,0,Security staff,4
1000017,M,Y,Y,0,331200.0,Working,Higher education,Married,House / apartment,-12688,-6732,1,0,0,0,Other,2
1000018,F,N,N,2,92900.0,Pensioner,Higher education,Married,With parents,-17197,365243,1,0,1,0,Managers,4
1000019,F,N,Y,0,124000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13456,-12511,1,0,1,0,Sales staff,2
1000020,M,Y,Y,0,292100.0,Working,Higher education,Married,House / apartment,-20581,-4004,1,0,0,0,Drivers,2
1000021,F,N,Y,0,186200.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18482,-9017,1,0,0,0,Drivers,2
1000022,M,N,Y,0,93900.0,Working,Academic degree,Married,House / apartment,-8520,-10066,1,0,0,0,Accountants,2
1000023,M,N,N,1,82700.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-13026,365243,1,0,0,0,Medicine staff,3
1000024,M,Y,N,3,102300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19854,-14457,1,0,0,0,Drivers,5
1000025,F,Y,Y,1,92100.0,Working,Secondary / secondary special,Married,House / apartment,-13250,-1531,1,0,0,0,Medicine staff,2
1000026,F,Y,Y,2,150000.0,Commercial associate,Higher education,Civil marriage,With parents,-10422,-3760,1,0,0,0,Laborers,4
1000027,M,N,N,0,138600.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-20799,-5818,1,1,1,0,Other,1
1000028,F,Y,Y,2,153200.0,Working,Higher education,Widow,House / apartment,-7602,-243,1,1,0,0,Security staff,4
1000029,F,N,Y,2,87500.0,Working,Incomplete higher,Married,House / apartment,-21386,-2268,1,0,1,0,Sales staff,4
1000030,M,Y,Y,1,128600.0,State servant,Secondary / secondary special,Married,Rented apartment,-14810,-7302,1,0,0,1,Accountants,3
1000031,F,N,Y,0,47700.0,State servant,Secondary / secondary special,Married,House / apartment,-21332,-34,1,1,0,0,Core staff,2
1000032,M,Y,Y,1,143300.0,Working,Incomplete higher,Single / not married,House / apartment,-10969,-9382,1,0,0,0,Core staff,3
1000033,M,N,N,1,239800.0,Working,Secondary / secondary special,Widow,With parents,-21332,-7429,1,0,0,0,Drivers,3
1000034,F,Y,Y,0,65400.0,Working,Secondary / secondary special,Married,House / apartment,-20654,-5453,1,0,0,0,Accountants,1
1000035,F,N,N,2,169700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13849,-10971,1,0,0,0,Other,3
1000036,F,Y,Y,3,98200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9779,-13376,1,0,0,1,Cleaning staff,5
1000037,M,N,Y,0,199000.0,Working,Secondary / secondary special,Married,House / apartment,-17395,-5229,1,0,0,0,Security staff,2
1000038,M,N,N,1,144300.0,Working,Higher education,Married,House / apartment,-18397,-13140,1,0,0,0,Sales staff,3
1000039,F,Y,Y,1,163100.0,Working,Secondary / secondary special,Married,House / apartment,-11118,-10650,1,0,0,0,Cleaning staff,3
1000040,F,N,Y,1,137600.0,State servant,Higher education,Married,House / apartment,-9686,-9173,1,0,0,0,Sales staff,3
1000041,M,N,Y,0,258900.0,Working,Secondary / secondary special,Married,House / apartment,-19157,-1418,1,0,0,1,Managers,1
1000042,F,Y,Y,2,158500.0,Working,Secondary / secondary special,Married,House / apartment,-23583,-8,1,1,0,1,Cleaning staff,4
1000043,M,N,N,0,93600.0,Student,Secondary / secondary special,Married,House / apartment,-21496,-5001,1,0,0,0,Medicine staff,2
1000044,F,Y,Y,0,140000.0,Commercial associate,Incomplete higher,Single / not married,Rented apartment,-21277,-3253,1,0,1,0,Core staff,1
1000045,M,N,N,2,110800.0,Working,Secondary / secondary special,Married,House / apartment,-19346,-3114,1,0,1,0,High skill tech staff,3
1000046,F,N,Y,1,144500.0,Working,Secondary / secondary special,Married,House / apartment,-12296,-3703,1,0,0,0,Medicine staff,2
1000047,M,Y,Y,2,108000.0,Working,Secondary / secondary special,Married,House / apartment,-15515,-112,1,0,1,0,Cleaning staff,4
1000048,F,N,N,0,95000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-23159,-9133,1,0,0,0,Security staff,2
1000049,F,N,N,0,147200.0,Working,Secondary / secondary special,Married,With parents,-12770,-1342,1,0,0,0,Core staff,1
1000050,M,N,Y,3,137000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-8417,-1456,1,0,1,0,Accountants,5
1000051,F,N,Y,0,226800.0,Working,Secondary / secondary special,Married,With parents,-14590,-765,1,0,1,0,Sales staff,1
1000052,F,N,Y,2,108300.0,Working,Lower secondary,Married,House / apartment,-15528,-4326,1,1,0,1,Other,4
1000053,F,N,N,2,49500.0,Commercial associate,Secondary / secondary special,Married,With parents,-22588,-7134,1,0,1,0,Sales staff,4
1000054,F,Y,N,1,111100.0,Working,Higher education,Married,House / apartment,-16344,-13791,1,0,0,0,Drivers,3
1000055,F,N,N,0,59100.0,Working,Secondary / secondary special,Married,House / apartment,-7933,-7102,1,0,1,0,Cooking staff,2
