ID,MONTHS_BALANCE,STATUS
1000001,0,C
1000001,-1,C
1000001,-2,C
1000001,-3,X
1000001,-4,C
1000001,-5,2
1000001,-6,0
1000002,0,C
1000002,-1,C
1000002,-2,C
1000002,-3,C
1000002,-4,0
1000002,-5,X
1000002,-6,C
1000002,-7,X
1000002,-8,C
1000002,-9,C
1000002,-10,X
1000002,-11,X
1000002,-12,0
1000002,-13,C
1000002,-14,X
1000002,-15,C
1000002,-16,0
1000003,0,5
1000003,-1,C
1000003,-2,C
1000003,-3,0
1000003,-4,X
1000003,-5,C
1000003,-6,X
1000003,-7,X
1000003,-8,C
1000003,-9,0
1000003,-10,X
1000003,-11,X
1000003,-12,0
1000004,0,5
1000004,-1,X
1000004,-2,X
1000004,-3,X
1000004,-4,X
1000004,-5,X
1000004,-6,0
1000004,-7,X
1000004,-8,C
1000004,-9,C
1000004,-10,C
1000004,-11,X
1000004,-12,C
1000004,-13,X
1000004,-14,C
1000004,-15,2
1000004,-16,1
1000004,-17,X
1000005,0,X
1000005,-1,X
1000005,-2,C
1000006,0,C
1000006,-1,C
1000006,-2,C
1000006,-3,0
1000006,-4,4
1000006,-5,0
1000006,-6,5
1000006,-7,4
1000006,-8,0
1000006,-9,C
1000006,-10,3
1000006,-11,0
1000006,-12,C
1000006,-13,X
1000006,-14,X
1000007,0,C
1000007,-1,0
1000007,-2,X
1000007,-3,3
1000007,-4,0
1000007,-5,X
1000007,-6,0
1000007,-7,1
1000007,-8,X
1000007,-9,C
1000007,-10,C
1000007,-11,X
1000007,-12,X
1000007,-13,X
1000007,-14,X
1000007,-15,C
1000007,-16,C
1000007,-17,X
1000007,-18,C
1000007,-19,C
1000008,0,C
1000008,-1,C
1000008,-2,0
1000008,-3,C
1000008,-4,C
1000008,-5,X
1000008,-6,1
1000008,-7,X
1000008,-8,X
1000009,0,0
1000009,-1,1
1000009,-2,C
1000009,-3,C
1000009,-4,0
1000009,-5,C
1000009,-6,X
1000010,0,0
1000010,-1,C
1000010,-2,0
1000010,-3,X
1000010,-4,C
1000010,-5,C
1000010,-6,1
1000010,-7,C
1000010,-8,C
1000011,0,0
1000011,-1,X
1000011,-2,X
1000011,-3,C
1000011,-4,C
1000011,-5,C
1000011,-6,X
1000011,-7,1
1000011,-8,C
1000011,-9,1
1000011,-10,C
1000012,0,0
1000012,-1,2
1000012,-2,1
1000012,-3,0
1000012,-4,C
1000012,-5,0
1000012,-6,C
